t,x_odom,y_odom,yaw_odom,x_gt,y_gt,yaw_gt
29.539,-7.258944792602287e-07,2.1659736123873273e-12,-2.5249311955930602e-06,-6.884240956097059e-05,-2.173185106277099e-06,-6.203023666227976e-06
29.572,-7.282838809255357e-07,2.1720144734698208e-12,-2.531448539379538e-06,-6.884239408234266e-05,-2.1731892254718643e-06,-6.2035912294884005e-06
29.605,-7.30603006683711e-07,2.177892555969373e-12,-2.537774185016384e-06,-6.884236312508507e-05,-2.173197463890079e-06,-6.204726356497989e-06
29.638,-7.329221330449023e-07,2.1837853099555703e-12,-2.544099819088071e-06,-6.884234764644934e-05,-2.1732015831130744e-06,-6.205293920239694e-06
29.672,-7.353115365974165e-07,2.1898719773430515e-12,-2.550617126677355e-06,-6.88423166891796e-05,-2.1732098215453145e-06,-6.206429047567999e-06
29.705,-7.376306641888899e-07,2.1957945188481044e-12,-2.556942737134535e-06,-6.884228573190727e-05,-2.173218059989856e-06,-6.2075641751536745e-06
29.738,-7.399497923948092e-07,2.2017317318098605e-12,-2.5632683353506442e-06,-6.88422702532776e-05,-2.1732221791934885e-06,-6.208131738691528e-06
29.772,-7.423391978430031e-07,2.2078642053396615e-12,-2.569785606292608e-06,-6.884223929600787e-05,-2.1732304176173683e-06,-6.209266866072386e-06
29.805,-7.446583272760139e-07,2.2138312056915313e-12,-2.5761111809564066e-06,-6.884220833873553e-05,-2.1732386560459065e-06,-6.210401993595174e-06
29.838,-7.469774573145566e-07,2.2198128774180626e-12,-2.582436743952213e-06,-6.884219286009807e-05,-2.1732427752591528e-06,-6.210969557368052e-06
29.872,-7.493668646587545e-07,2.2259911569069647e-12,-2.588953978369734e-06,-6.884216190282226e-05,-2.1732510137043724e-06,-6.212104685250527e-06
29.905,-7.516859959366918e-07,2.232002615934787e-12,-2.5952795167440767e-06,-6.8842130945556e-05,-2.1732592520691298e-06,-6.213239811987253e-06
29.938,-7.540051278119765e-07,2.2380287462560985e-12,-2.6016050442415406e-06,-6.884211546691679e-05,-2.173263371284569e-06,-6.213807375882934e-06
29.972,-7.56394537045607e-07,2.2442528315003684e-12,-2.6081222421460074e-06,-6.884208450963231e-05,-2.1732716097193498e-06,-6.214942503786191e-06
