t,x_odom,y_odom,yaw_odom,x_gt,y_gt,yaw_gt
28.933,-6.65035230410183e-07,2.017359612858983e-12,-2.3589264151213898e-06,-6.884305579333595e-05,-2.173013129144824e-06,-6.179327904676013e-06
28.954,-6.673543396292784e-07,2.0228375561597504e-12,-2.3652523800441563e-06,-6.884304031472537e-05,-2.173017248355768e-06,-6.179895467435855e-06
28.974,-6.696734494542194e-07,2.0283301714856608e-12,-2.3715783334780183e-06,-6.884302483611392e-05,-2.173021367578647e-06,-6.1804630303945305e-06
29.002,-6.720628359655098e-07,2.0340045753461753e-12,-2.378095970702094e-06,-6.884300935750248e-05,-2.1730254868128248e-06,-6.181030593541104e-06
29.037,-6.743819470183106e-07,2.0395269792662646e-12,-2.3844219008294212e-06,-6.884297840027177e-05,-2.1730337252781165e-06,-6.182165719841224e-06
29.068,-6.767010586812676e-07,2.0450640551639283e-12,-2.3907478188731024e-06,-6.884296292165859e-05,-2.173037844507523e-06,-6.182733282969218e-06
29.102,-6.790904470943906e-07,2.050784266842213e-12,-2.397265418381144e-06,-6.88429319644409e-05,-2.173046082881827e-06,-6.183868408001676e-06
29.134,-6.814095599909221e-07,2.0563511312235466e-12,-2.4035913119447023e-06,-6.884291648583032e-05,-2.173050202065464e-06,-6.184435970491377e-06
29.168,-6.837286734877468e-07,2.061932667498342e-12,-2.4099171946133e-06,-6.884288552860135e-05,-2.1730584404857035e-06,-6.185571096325173e-06
29.202,-6.861180637843472e-07,2.0676986867637057e-12,-2.4164347586285793e-06,-6.884285457136284e-05,-2.1730666789441305e-06,-6.186706222808133e-06
29.236,-6.884371785170267e-07,2.073310011411825e-12,-2.4227606172698593e-06,-6.884282361413214e-05,-2.1730749173689074e-06,-6.187841348853181e-06
29.268,-6.907562938613704e-07,2.078936007921346e-12,-2.4290864635647582e-06,-6.884280813551722e-05,-2.1730790365619473e-06,-6.18840891160985e-06
29.303,-6.931456860589551e-07,2.084747834630783e-12,-2.4356039899885704e-06,-6.884277717828739e-05,-2.1730872749334233e-06,-6.189544036956518e-06
29.335,-6.954648026286035e-07,2.090403619364127e-12,-2.441929813135623e-06,-6.884274622105061e-05,-2.1730955133579503e-06,-6.190679163177352e-06
29.368,-6.977839198030062e-07,2.0960740758844143e-12,-2.448255624892276e-06,-6.884273074242962e-05,-2.173099632585715e-06,-6.191246726548257e-06
29.402,-7.001733138920949e-07,2.1019317098324915e-12,-2.4547731152486306e-06,-6.884269978519025e-05,-2.1731078710131445e-06,-6.192381852919292e-06
29.435,-7.024924323031057e-07,2.107631954486451e-12,-2.4610989025819405e-06,-6.884266882795087e-05,-2.1731161094166147e-06,-6.193516979000089e-06
29.468,-7.048115513197185e-07,2.1133468708691043e-12,-2.4674246782232963e-06,-6.884265334933162e-05,-2.1731202286215978e-06,-6.1940845421160805e-06
29.502,-7.072009472992488e-07,2.1192503118669177e-12,-2.473942132196214e-06,-6.884262239208443e-05,-2.1731284670431204e-06,-6.195219668576709e-06
29.534,-7.095200675437151e-07,2.1249950162421993e-12,-2.480267884650842e-06,-6.884259143483812e-05,-2.173136705495281e-06,-6.1963547955717524e-06
29.571,-7.118391883905629e-07,2.1307543922805002e-12,-2.4865936254421306e-06,-6.884257595620932e-05,-2.173140824720255e-06,-6.196922359079469e-06
29.602,-7.142285862634229e-07,2.1367036401545204e-12,-2.493111043076389e-06,-6.884254499895433e-05,-2.1731490631736174e-06,-6.198057486199856e-06
29.635,-7.165477083506909e-07,2.142492804097681e-12,-2.4994367594355704e-06,-6.884251404170802e-05,-2.1731573015828123e-06,-6.1991926127238555e-06
29.668,-7.188668310401632e-07,2.1482966396426217e-12,-2.5057624642324762e-06,-6.884249856308096e-05,-2.1731614207904745e-06,-6.1997601760592015e-06
29.701999999999998,-7.212562308088092e-07,2.1542916942119764e-12,-2.5122798451305076e-06,-6.88424676058251e-05,-2.1731696592292693e-06,-6.200895303138795e-06
29.735,-7.235753547307949e-07,2.1601253175214853e-12,-2.51860552626879e-06,-6.884243664856925e-05,-2.1731778976570303e-06,-6.2020304301219614e-06
29.768,-7.258944792602287e-07,2.1659736123873273e-12,-2.5249311955930602e-06,-6.884242116994479e-05,-2.1731820168602532e-06,-6.202597993479591e-06
29.803,-7.282838809255357e-07,2.1720144734698208e-12,-2.531448539379538e-06,-6.88423902126872e-05,-2.173190255270957e-06,-6.203733120312724e-06
29.835,-7.30603006683711e-07,2.177892555969373e-12,-2.537774185016384e-06,-6.884235925542614e-05,-2.1731984936962917e-06,-6.204868247438516e-06
29.868,-7.329221330449023e-07,2.1837853099555703e-12,-2.544099819088071e-06,-6.88423437767904e-05,-2.1732026129157167e-06,-6.205435811130153e-06
