t,x_odom,y_odom,yaw_odom,x_gt,y_gt,yaw_gt
26.464,-4.93985028569422e-07,1.6537714742722894e-12,-1.8923062339025421e-06,-6.884497513729663e-05,-2.1725023450510743e-06,-6.108950231398242e-06
26.498,-4.963743677508362e-07,1.6583006232176024e-12,-1.8988247851329608e-06,-6.884494418020384e-05,-2.17251058344416e-06,-6.110085352080526e-06
26.531,-4.986934328569569e-07,1.662711457673953e-12,-1.905151603748298e-06,-6.88449132230911e-05,-2.1725188219769622e-06,-6.111220474945682e-06
26.564,-5.010124985681715e-07,1.6671369655762275e-12,-1.91147841091392e-06,-6.884489774453429e-05,-2.1725229412551734e-06,-6.111788036583788e-06
26.598,-5.034018396408434e-07,1.6717119269344158e-12,-1.91799692621309e-06,-6.884486678742242e-05,-2.17253117976195e-06,-6.112923159161511e-06
26.631,-5.057209065993588e-07,1.6761672263494274e-12,-1.924323707132556e-06,-6.884483583032789e-05,-2.1725394181254744e-06,-6.114058279645012e-06
26.664,-5.08039974156467e-07,1.6806371991339732e-12,-1.930650477206942e-06,-6.884482035177282e-05,-2.172543537335765e-06,-6.114625840345355e-06
26.698,-5.104293171146086e-07,1.6852579727003788e-12,-1.937168956596007e-06,-6.884478939465574e-05,-2.1725517758469163e-06,-6.115760963167985e-06
26.731,-5.12748385895543e-07,1.68975773683515e-12,-1.943495704225058e-06,-6.884475843753173e-05,-2.1725600143863827e-06,-6.116896086489363e-06
26.764,-5.150674552928673e-07,1.6942721743177828e-12,-1.9498224388087346e-06,-6.884474295897579e-05,-2.172564133606889e-06,-6.117463647432963e-06
26.798000000000002,-5.174568001601235e-07,1.6989387599583207e-12,-1.9563408795879886e-06,-6.884471200187259e-05,-2.172572371976655e-06,-6.118598768295393e-06
26.831,-5.197758707867295e-07,1.7034829886749067e-12,-1.9626675905628613e-06,-6.884468104475551e-05,-2.1725806104200702e-06,-6.119733890343395e-06
26.864,-5.22094942011164e-07,1.7080418906441726e-12,-1.9689942908903404e-06,-6.88446655661909e-05,-2.172584729688961e-06,-6.120301452107462e-06
26.898,-5.244842887559409e-07,1.712754288113079e-12,-1.975512697280207e-06,-6.884463460905908e-05,-2.1725929682324263e-06,-6.121436575774092e-06
26.931,-5.268033612246718e-07,1.7173429812329397e-12,-1.9818393724068184e-06,-6.884460365194287e-05,-2.1726012066588477e-06,-6.122571697741567e-06
26.964,-5.291224343050914e-07,1.7219463475703466e-12,-1.988166035106055e-06,-6.884458817338953e-05,-2.1726053258354675e-06,-6.12313925820006e-06
26.998,-5.315117829477472e-07,1.7267045567179678e-12,-1.9946844039149976e-06,-6.884455721626465e-05,-2.1726135642661964e-06,-6.124274380341709e-06
27.031,-5.338308572409335e-07,1.7313377140200155e-12,-2.0010110450166685e-06,-6.884452625912675e-05,-2.1726218028037397e-06,-6.125409504168309e-06
27.064,-5.361499321440914e-07,1.7359855444816118e-12,-2.007337674083445e-06,-6.88445107805578e-05,-2.1726259220670604e-06,-6.125977066026032e-06
27.098,-5.385392826900097e-07,1.7407895651413277e-12,-2.0138560056026524e-06,-6.884447982343465e-05,-2.1726341604880883e-06,-6.127112188197642e-06
27.13,-5.408583588361579e-07,1.745467186506112e-12,-2.0201826093110475e-06,-6.88444488663115e-05,-2.172642398879495e-06,-6.128247309993138e-06
27.164,-5.431774355795427e-07,1.7501594809425324e-12,-2.0265092024100424e-06,-6.884443338774516e-05,-2.172646518109212e-06,-6.128814871431749e-06
27.199,-5.45566788002686e-07,1.7550093128724118e-12,-2.0330274989232124e-06,-6.884440243059686e-05,-2.1726547566383217e-06,-6.129949995416431e-06
27.231,-5.478858659737721e-07,1.7597313980666045e-12,-2.0393540684629426e-06,-6.884437147345202e-05,-2.1726629951318827e-06,-6.131085118933984e-06
27.264,-5.50204944558219e-07,1.7644681563070995e-12,-2.045680625518399e-06,-6.884435599488394e-05,-2.17266711435332e-06,-6.131652680336567e-06
27.298,-4.187365414025721e-07,1.2963795478818257e-09,0.011292185459532755,-9.73336947664551e-05,4.666770842944138e-06,0.005076788098655083
27.33,1.0547976199386855e-06,2.6389371508474435e-08,0.02224584724484029,-0.00020698000253008102,2.2277119530130684e-06,0.018268300048161337
27.365,2.617263000087489e-06,6.971408081172614e-08,0.03320002702859926,-0.0002655785008831707,-7.818032386437077e-07,0.024907032440272703
27.398,4.20233901992185e-06,1.3125127380769398e-07,0.04426197273363037,-0.00038120594830375054,-7.863973851277467e-06,0.038013936950006884
27.431,5.757683559409778e-06,2.085014249402209e-07,0.0549996462395708,-0.0004958947441388029,-1.639339510274535e-05,0.05102935286978651
27.465,7.301427994762614e-06,3.0179795141170396e-07,0.06573917052637313,-0.0005532105012655605,-2.121826307234292e-05,0.0575381189042023
27.497,8.851059305238025e-06,4.1232305999669664e-07,0.07647305366134538,-0.0006655341179153942,-3.1763654040715386e-05,0.07030344685832159
27.531,1.0383856995345044e-05,5.378061401185557e-07,0.08689174077872051,-0.0007764669473096864,-4.360221454846803e-05,0.0829324646432037
27.564,1.1913035936977826e-05,6.790344565922839e-07,0.09731196867798185,-0.0008318824764942711,-5.0043825863854024e-05,0.08924789486236073
27.597,1.3444471973395994e-05,8.36720145877774e-07,0.1077252375325682,-0.0009404406202235009,-6.368183143196148e-05,0.10163283091406644
27.631,1.49409246217985e-05,1.0061937296359771e-06,0.1178325517543756,-0.0009940506273527728,-7.09280377156656e-05,0.10775846978366162
27.664,1.64206826786058e-05,1.1889436897995901e-06,0.12794125399042713,-0.0011011663731036502,-8.640015845286404e-05,0.12001142207426338
27.693,1.7901953535980145e-05,1.3872286621958834e-06,0.138043193788743,-0.0012060262281953253,-0.00010284196664584171,0.13202634024292687
27.731,1.9346927914294085e-05,1.595186099682483e-06,0.14784833240727033,-0.0013095282002761133,-0.00012034584835108936,0.14391208189748303
27.767,2.0774819144670424e-05,1.814997367853353e-06,0.15765482590148258,-0.0013612158232961047,-0.00012955903826771724,0.1498557738324826
27.798000000000002,2.2203680825028516e-05,2.049439350233666e-06,0.16745476040644078,-0.0014624271244463218,-0.00014851520259828905,0.16151177455454524
27.831,2.359528382112799e-05,2.291471217583938e-06,0.17696676986434917,-0.0015622981356842739,-0.00016842564638047848,0.17304236817670243
27.864,2.496906584124064e-05,2.5438904283925027e-06,0.18648009408005223,-0.001612162861487694,-0.00017881380832315906,0.17880848561139157
27.899,2.6343339099517927e-05,2.8100441778828576e-06,0.1959870481738991,-0.0017097859975381043,-0.0002000154963583007,0.19011632050505584
27.931,2.767923683116174e-05,3.0816638632343448e-06,0.20521467043253694,-0.001806088245348057,-0.00022207261216374756,0.20130235180574066
27.964,2.89966565591314e-05,3.3622123903572125e-06,0.2144435488228149,-0.0018541630200060574,-0.00023350496666745034,0.2068961802998822
27.998,3.031302654305711e-05,3.6553572548327366e-06,0.2236662151626765,-0.0019482683196331676,-0.0002567052212412281,0.2178662034997627
28.032,3.1590370946871494e-05,3.951918917546379e-06,0.23261786289111328,-0.0019946979596329175,-0.00026856076914360367,0.22329171554029256
28.064,3.2846090190588725e-05,4.255332433524514e-06,0.2415706895067881,-0.002087401554137281,-0.00029302961064065305,0.23414447586194903
28.098,3.409947718620228e-05,4.570170773774259e-06,0.250517451783176,-0.002178073040602915,-0.00031798747910179366,0.24478669561275274
28.131,3.531101783486954e-05,4.885786132621219e-06,0.25920123855853244,-0.0022674706775733236,-0.0003436273009240014,0.2553137845041023
28.164,3.6508645811663156e-05,5.2089412642888425e-06,0.26788599979204053,-0.0023120940173523294,-0.00035678023576942493,0.2605781232056443
28.198,3.7756252938344995e-05,5.557354990437625e-06,0.27656424702450555,-0.0023995033758260564,-0.00038277891578337845,0.2709016549471273
28.231,3.8996319224781257e-05,5.914955273088662e-06,0.28498619852247986,-0.002486341283238265,-0.0004066752807507818,0.2811115588244119
28.263,4.0206221494528374e-05,6.2749260870202705e-06,0.2934077283925875,-0.0025302240152663504,-0.0004171179788945757,0.28621648337788735
28.298,4.1396181998184896e-05,6.640004278115334e-06,0.30182208594880083,-0.00261766334996895,-0.0004332915993167834,0.2962266092438821
28.331,4.2549746161377045e-05,7.004288702870511e-06,0.3099873877466945,-0.002706830107352005,-0.00044074964625792634,0.3061253331106163
28.364,4.367091257626853e-05,7.3684459047977705e-06,0.318152216115237,-0.0027528243651945405,-0.0004403571426026783,0.3110746397739582
28.398,4.476467673299282e-05,7.733688808555138e-06,0.3263100897508856,-0.0028465840031262823,-0.00042960264546171604,0.3207797255405172
28.431,4.582830846917425e-05,8.098296428799944e-06,0.33422638544137057,-0.0028949677515316056,-0.0004185099156734241,0.32557796036455217
28.464,4.6859695596979424e-05,8.46100960542282e-06,0.3421421708744997,-0.0029966952241133903,-0.0003832722120740474,0.3351745500170762
28.498,4.7857140100309764e-05,8.820755873706124e-06,0.3500512278031275,-0.0031044145876824307,-0.0003283159603052145,0.3445834428463495
28.531,4.882863939575027e-05,9.179632563260623e-06,0.3577260008609882,-0.00322010672080163,-0.0002508765800685836,0.3538865327773578
28.564,4.9765086826371595e-05,9.533766183228951e-06,0.36540025769648754,-0.0032818304348715584,-0.00020293695294260213,0.3585380294669302
28.598,5.0666793829302666e-05,9.882755125259132e-06,0.3730679453898857,-0.0034123259826187163,-8.688534795549675e-05,0.3676592374980407
28.631,5.154982949682446e-05,1.0232124888934245e-05,0.38050840136178765,-0.0035545964226692426,5.828512053782705e-05,0.3766771079210155
28.664,5.2394929520000345e-05,1.0573801433347077e-05,0.3879483443855915,-0.003631090711636157,0.00014253612561826012,0.3811860439221487
28.698,5.320404776417183e-05,1.0908000167915055e-05,0.3953818840574476,-0.003794227314418746,0.0003360894359516629,0.39002768703589497
28.731,5.40000767917706e-05,1.1243561767123671e-05,0.40259505738696566,-0.003973355889520947,0.0005651712370787871,0.3987682179770575
28.762,5.475469609399807e-05,1.1568123861579962e-05,0.40980773921227326,-0.00406989934395325,0.000693735796103317,0.4031386146463206
28.798000000000002,5.5474999721184685e-05,1.1884140150730338e-05,0.4170141553550059,-0.004276470767420043,0.00098062029629739,0.41170844908913146
28.831,5.618358946704567e-05,1.2200968875585254e-05,0.42400690306475436,-0.004503642125335812,0.0013091758679728543,0.4201791782125299
28.863,5.6854829568354536e-05,1.2506776323817575e-05,0.43099910684326487,-0.004625950545965391,0.001489736450132814,0.42441488919944464
28.898,5.749375696712726e-05,1.2803311883440224e-05,0.43798521857386813,-0.004887557517947045,0.0018851388300733113,0.4327201339520485
28.931,5.8068989240441394e-05,1.3074892765167937e-05,0.4447651693597933,-0.005174380948367436,0.0023268039097858496,0.4409341676007121
28.963,5.841508857510599e-05,1.3241329832775107e-05,0.4515481130316183,-0.0053228278176164524,0.002554121229172048,0.4450415924995429
28.998,5.871819422574858e-05,1.3390039131897605e-05,0.4583255877874654,-0.00561601839829866,0.0029978549834018143,0.4530911300899934
29.031,5.899451394522723e-05,1.3527663765114056e-05,0.4649018687743377,-0.005910675248076382,0.0034347244949910092,0.46106144969127244
29.064,5.9261761083119976e-05,1.3662852564290547e-05,0.47147736673833157,-0.006058818998499426,0.0036519768337493607,0.4650416616141176
29.095,5.949381310466392e-05,1.3782621286274923e-05,0.4780472699628776,-0.0063512746002935515,0.0040759798297213086,0.47284145665445315
29.132,5.968964604034461e-05,1.388508283600411e-05,0.48442231258779506,-0.006645104278987837,0.004493501656584955,0.4805656416747056
29.164,5.987992945837179e-05,1.3986032691451174e-05,0.49079651941530217,-0.006793168004071098,0.0047014215833040395,0.4844284527952191
29.198,6.0029293551814486e-05,1.4066916516918322e-05,0.49716533230514975,-0.007084363957546846,0.005106411963041862,0.4919842759249924
29.231,6.01506507095892e-05,1.413331626393928e-05,0.5033453693766546,-0.007376511481392672,0.005505435792063731,0.4994707935780602
29.265,6.0277706596661504e-05,1.4203684948780775e-05,0.5095242756728887,-0.007524155097114595,0.005704282224022684,0.5032174598790398
29.298,6.0340577517029446e-05,1.4239356753272508e-05,0.5156981234639143,-0.007813966121138303,0.006091128682648006,0.5105375801391949
29.331,6.040271716605566e-05,1.4274659357676727e-05,0.5216889128369414,-0.008104132319576369,0.006472679584229198,0.5177984430102961
29.364,6.049711313378293e-05,1.4329159340933754e-05,0.5276781964251486,-0.008250035290884656,0.006662083295198625,0.5214182585134278
29.398,6.0458297680792935e-05,1.430664138017656e-05,0.5336634261765816,-0.008538385045456625,0.007031855236318295,0.5285154786498801
29.431,6.048048225855922e-05,1.4319462870597833e-05,0.5394705046818441,-0.008827062006187446,0.007396735416281635,0.53555877062626
29.464,6.053646940168615e-05,1.4353240853462247e-05,0.545276152382666,-0.008969718516800208,0.0075772102803202575,0.5390576017120653
29.498,6.036829677466121e-05,1.4250628652073195e-05,0.5510792944238274,-0.009257810505009343,0.007931223297658345,0.5459499852516122
29.531,6.0452646965220536e-05,1.4302539145917665e-05,0.556707112553089,-0.00954246065359258,0.00827933061168288,0.5527664916478905
29.564,6.0336694768303964e-05,1.4230141709966614e-05,0.5623364165573532,-0.00968519974293337,0.00845206799857866,0.5561636588813694
29.598,6.018672902880796e-05,1.4134839467212783e-05,0.5679611672223353,-0.009969560371844724,0.008790205005711961,0.562842294917969
29.631,6.016774300342667e-05,1.4122795468092854e-05,0.5734169661492192,-0.010247180151778258,0.009121411389739188,0.569421771947074
29.664,6.000753134203432e-05,1.4018573007631937e-05,0.5788737548391637,-0.010392331121156777,0.009286824067974275,0.5727218670522447
29.698,5.978783771737555e-05,1.3874156232615266e-05,0.5843271975234822,-0.01067229819204245,0.009610673981976434,0.5792109914403664
29.731,5.968554310020952e-05,1.3806204916810416e-05,0.5896152693591465,-0.010946175943277375,0.009925002020207716,0.5855456543972526
29.764,5.954694922548471e-05,1.3712829107418502e-05,0.5949053545296599,-0.011088964274558978,0.010084818225486757,0.5887802649743925
29.798000000000002,5.92341943334936e-05,1.3499934195813322e-05,0.6001919322453823,-0.01137174356321015,0.010393460751712151,0.5950542964713442
29.831,5.901322067067959e-05,1.3347976370551093e-05,0.6053195949140653,-0.011638375227861094,0.010690537571547427,0.6011279797701933
29.864,5.888848418238054e-05,1.3261171593362634e-05,0.6104459681182464,-0.011774942754381096,0.010841651847249792,0.6042306408108457
29.898,5.865900247230472e-05,1.3099709904438271e-05,0.6155699667594244,-0.012059217268562874,0.01114292330516536,0.6104433120534458
29.936,5.8435856921443965e-05,1.2941073126831983e-05,0.6205429739994863,-0.012332805881361028,0.011428671173642697,0.6163702426604938
29.964,5.8268382212542884e-05,1.282079744226765e-05,0.6255139743941343,-0.012466262459660734,0.011566832232010642,0.6192481491067339
29.998,5.8149783009300005e-05,1.2734701384391144e-05,0.6304793990515204,-0.01273335195201083,0.011840977076226073,0.6249824285070645
30.03,5.8055254310902393e-05,1.2665373430262066e-05,0.6352984712889401,-0.012867321541862521,0.011977308783618128,0.627846080064594
30.064,5.798449197231239e-05,1.2612954815134403e-05,0.6401171811020474,-0.013135020641305081,0.012247404643820733,0.633543484362571
30.098,5.79331410994786e-05,1.257453257305371e-05,0.6449310763459691,-0.013401260276265904,0.01251300265892799,0.639177725847809
30.131,5.790404932428772e-05,1.2552551939359655e-05,0.6496029771785552,-0.013533300469658893,0.012643622827773482,0.641960376692936
30.164,5.789446404710636e-05,1.2545248764323678e-05,0.6542743409386664,-0.013794600562711711,0.012899989645933543,0.6474448017910295
30.199,5.7907257559069185e-05,1.2555123598798733e-05,0.6589409198867892,-0.01405401254705273,0.013151739704105714,0.6528606576939563
30.231,5.790051145596536e-05,1.2549845201338413e-05,0.6634697141912219,-0.014315209019139604,0.013402479615958056,0.6582852292167658
30.262,5.7849204401760784e-05,1.2509536070450262e-05,0.6679980915007738,-0.014447584403585702,0.013528518564805397,0.6610236899670727
30.298,5.7804885728577204e-05,1.247444781754344e-05,0.6725219945789414,-0.014714446869164689,0.013780504301260512,0.6665226320215383
30.334,5.7764834430650096e-05,1.2442379452871422e-05,0.6769118829080384,-0.01497332720737701,0.01402234147978534,0.6718303032047224
30.364,5.766869565914378e-05,1.2364755304872654e-05,0.6812996037448766,-0.015099547622991665,0.014139330798966808,0.6744087334164242
30.398,5.754671572765165e-05,1.2265380373017792e-05,0.6856820566775897,-0.015353375953788422,0.014372757706196651,0.6795751958292868
30.431,5.737714968633835e-05,1.212602715596244e-05,0.6899354113946538,-0.015608810431152104,0.014605242435786828,0.6847499828276411
30.464,5.7191499577997137e-05,1.1972171613709344e-05,0.6941884123078969,-0.01573565598997404,0.014719909794620113,0.6873132345689191
30.498,5.7010190678196083e-05,1.182060046451779e-05,0.6984374603839888,-0.015984269745737596,0.014945251646406288,0.6923719054989125
30.532,5.6912684910961666e-05,1.173848740224766e-05,0.7025602149499378,-0.016220085711038383,0.0151657696273249,0.6973501139376503
30.564,5.6974363431346006e-05,1.1790961468112707e-05,0.706680600202422,-0.01633885958639581,0.015275661452647556,0.6998414539665491
30.598,5.687878702950999e-05,1.1708891519880365e-05,0.7107986365087559,-0.016586097138528173,0.015494013369476827,0.7048129491749376
30.631,5.6801072726042765e-05,1.1641852046416145e-05,0.7147941939489016,-0.016819577802853737,0.015704188629434422,0.7096250513747635
30.668,5.696522819343594e-05,1.1784881371823682e-05,0.7187872021659504,-0.01693577140072773,0.015809641622396384,0.7120496720051502
30.697,5.687593473718968e-05,1.1706345911809699e-05,0.7227785795430968,-0.0171785766392438,0.016017348853435212,0.7168456917882975
30.73,5.695343798381402e-05,1.1775240958641173e-05,0.7266503595645999,-0.01740400707041933,0.016218339251620396,0.7215123256742122
30.764,5.712470880741417e-05,1.1927842389286347e-05,0.7305196987616173,-0.017521579413511908,0.016318872785867956,0.7238563429225002
30.798000000000002,5.706244739017489e-05,1.1871883545944565e-05,0.7343893071622509,-0.017757571651413992,0.016517618759758646,0.728495822896711
30.831,5.735157856810706e-05,1.2134089236949552e-05,0.7381400450379175,-0.0179789982194396,0.01671021588948166,0.7330297600566098
30.864,5.742724762909885e-05,1.2203095780050166e-05,0.7418917856687139,-0.018096696985211012,0.016806851738217037,0.7353143810613837
30.899,5.752937153561633e-05,1.2297167333432291e-05,0.7456412828565605,-0.01832104075822881,0.01699483304004709,0.7397768498407438
30.931,5.779073395921323e-05,1.2539259116030745e-05,0.7492769246320706,-0.018543060355921407,0.017179878187440354,0.7441938420516249
30.964,5.7935576530005594e-05,1.2674600634206282e-05,0.7529139776606923,-0.018655500739764932,0.017272230045815583,0.7464073782903389
30.998,5.81113889268312e-05,1.2839935998305354e-05,0.7565471107103416,-0.018874701389491804,0.017451721118836146,0.7507270989353537
31.031,5.840015968985274e-05,1.3113435930296968e-05,0.7600714863447202,-0.01898171251355774,0.017540410965291145,0.7528702911251954
31.064,5.863959171817758e-05,1.334188670790364e-05,0.7635962284653534,-0.019200650227820557,0.017716817666839916,0.757150601112334
31.098,5.886820997624435e-05,1.35615637033447e-05,0.7671176465899548,-0.01941510047219507,0.017888421828445578,0.7613369469131092
31.129,5.920920517439537e-05,1.3891329568527765e-05,0.7705331609704479,-0.019519521105746843,0.017973137961044147,0.7634120103890321
31.163,5.952071074384684e-05,1.419483406162132e-05,0.7739491062014032,-0.01973316763543506,0.018141749971100067,0.7675587536846397
31.198,5.979745663845479e-05,1.4466300581812185e-05,0.7773619835109906,-0.019942708676402916,0.01830585485400874,0.771616320437083
31.232,6.0188841614669585e-05,1.4852575029128749e-05,0.780672122638673,-0.020044622511122365,0.018386861424089535,0.7736272901734442
31.264,6.057394069857957e-05,1.523540812850055e-05,0.7839825386583044,-0.02025279891640412,0.0185479805817712,0.7776430175798272
31.298,6.0907449813221845e-05,1.556920107110351e-05,0.7872901940089589,-0.02045719209701703,0.01870495596517186,0.781576267990697
31.331,6.133881401687313e-05,1.6003423693366954e-05,0.7904983532794152,-0.020659418839192156,0.018859689258370334,0.7854739054016725
31.364,6.179846398892684e-05,1.6469338946897057e-05,0.7937064096151685,-0.02075961655565401,0.018936436023018956,0.7874147017861151
31.398,6.220037534032166e-05,1.6879505344947815e-05,0.7969120076159795,-0.020958756475824358,0.019086635885951737,0.7912280209067871
31.432,6.266963903981135e-05,1.736105587139046e-05,0.8000214353547551,-0.021156103909651724,0.01923464605253921,0.7950054653778176
31.464,6.319321648463315e-05,1.7901856039742625e-05,0.8031303400861696,-0.021253885931540543,0.019308020106424836,0.796885352998884
31.498,6.367623064752768e-05,1.8404115950043185e-05,0.8062369320971841,-0.021447685871899404,0.019451699192178196,0.8005808719848617
31.531,6.419346614691893e-05,1.8944923203384457e-05,0.8092506453441962,-0.021639990674702292,0.019593229952269017,0.8042400061816892
31.562,6.476891274832283e-05,1.9550282180495083e-05,0.8122635999061623,-0.021735678266855164,0.019663498433646173,0.8060637241915304
31.597,6.532923637142342e-05,2.0143567006819975e-05,0.8152742079870966,-0.021924218871075575,0.019800916844398487,0.8096439299220437
